,brand,sku,listingPartNum,match,asin,salesRankId,salesRank,boxV,cost,isBBW,marketPrice,fees,netProfit,margin
0,Master Lock,1,3D,False,B00004SQKO,home_improvement_display_on_website,5673,17.57 inches,6.62,True,9.18,5.69,-3.13,-34.1
1,Master Lock,2,5400EC2,False,B0BHZRFXX3,home_improvement_display_on_website,7760,346.66 inches,9.07,True,57.99,16.59,32.33,55.75
2,Master Lock,3,3D,False,B00004SQKO,home_improvement_display_on_website,5673,17.57 inches,5.76,True,9.18,5.69,-2.27,-24.73
3,Master Lock,4,M115XQLFCCSEN,False,B00FK8U8MM,home_improvement_display_on_website,2778,70.19 inches,7.74,True,35.79,12.97,15.08,42.13
4,Master Lock,5,5T,False,B00004Y8CK,home_improvement_display_on_website,52895,42.85 inches,8.42,True,21.58,10.23,2.93,13.58
5,Master Lock,7,3D,False,B00004SQKO,home_improvement_display_on_website,5673,17.57 inches,4.59,True,9.18,5.69,-1.1,-11.98
6,Master Lock,8,M5NKALJSTS,False,B07WSX8MGN,home_improvement_display_on_website,57068,178.9 inches,6.26,True,140.7,31.22,103.22,73.36
7,Master Lock,21,37KA0515PKOF6,False,B07G1QZBKJ,home_improvement_display_on_website,71807,145.6 inches,9.68,True,80.77,21.27,49.82,61.68
8,Master Lock,25,5NKA-4,False,B08SZ3CQNY,home_improvement_display_on_website,224638,94.03 inches,11.62,True,51.36,16.689999999999998,23.05,44.88
9,Master Lock,81,K81KRBOX,False,B0044FUWNM,home_improvement_display_on_website,336219,16.68 inches,9.25,True,24.33,9.19,5.89,24.21
10,Master Lock,101,MLK120T,False,B002YHMRIU,home_improvement_display_on_website,710889,3.31 inches,17.93,True,10.93,6.06,-13.06,-119.49
11,Master Lock,175,175,True,B001XQ0JQ0,home_improvement_display_on_website,123670,7.16 inches,12.23,True,18.39,8.3,-2.14,-11.64
12,Master Lock,176,176,True,B000CG52J6,home_improvement_display_on_website,676979,11.25 inches,13.97,True,30.77,10.16,6.64,21.58
13,Master Lock,220,488,False,B0010EED30,biss_display_on_website,40216,107.6 inches,15.52,True,15.45,8.370000000000001,-8.44,-54.63
14,Master Lock,230,230,True,B019ET1EAM,home_improvement_display_on_website,1324542,,17.99,False,no offers,no offers,no offers,no offers
15,Master Lock,387,,Not Listed,B009M3DEAE,home_improvement_display_on_website,1490188,,79.65,True,125.0,no offers,no offers,no offers
16,Master Lock,416,416,True,B001VY0MJI,biss_display_on_website,105574,3.17 inches,3.41,True,9.48,4.87,1.2,12.66
17,Master Lock,417,417,True,B076DRHDJP,home_improvement_display_on_website,464735,5.18 inches,3.98,True,11.32,6.12,1.22,10.78
18,Master Lock,418,M1XQCCSEN,False,B0038TZ7IK,home_improvement_display_on_website,35804,31.5 inches,3.97,True,24.22,11.23,9.02,37.24
19,Master Lock,419,419,True,B001922CE0,home_improvement_display_on_website,651742,6.7 inches,4.81,True,12.32,6.45,1.06,8.6
20,Master Lock,420,420,True,B007I9SVI4,home_improvement_display_on_website,42344,0.14 inches,3.22,True,5.19,4.23,-2.26,-43.55
21,Master Lock,421,421,True,B000H5S1SG,home_improvement_display_on_website,237878,5.76 inches,3.76,True,9.86,4.93,1.17,11.87
22,Master Lock,424,M1XQCCSEN,False,B0038TZ7IK,home_improvement_display_on_website,35804,31.5 inches,2.85,True,24.22,11.23,10.14,41.87
23,Master Lock,427,427,True,B001922CHM,home_improvement_display_on_website,276446,7.71 inches,9.31,True,20.29,7.64,3.34,16.46
24,Master Lock,428,428,True,B0118KNZNY,home_improvement_display_on_website,1333807,5.4 inches,3.36,True,8.85,4.779999999999999,0.71,8.02
25,Master Lock,429,M1XQCCSEN,False,B0038TZ7IK,home_improvement_display_on_website,35804,31.5 inches,5.09,True,24.22,11.23,7.9,32.62
26,Master Lock,443,M1XQCCSEN,False,B0038TZ7IK,home_improvement_display_on_website,35804,31.5 inches,7.53,True,24.22,11.23,5.46,22.54
27,Master Lock,461,M5XTLFCCSEN,False,B00STZY3EW,home_improvement_display_on_website,39714,48.32 inches,31.21,True,23.03,10.44,-18.62,-80.85
28,Master Lock,480,480,True,B001922BT6,biss_display_on_website,70502,29.12 inches,8.58,True,18.46,7.93,1.95,10.56
29,Master Lock,481,481,True,B001920AQM,biss_display_on_website,70502,93.69 inches,13.05,True,19.32,8.440000000000001,-2.17,-11.23
30,Master Lock,482,482,True,B0010ECJ1S,biss_display_on_website,70502,92.97 inches,17.77,True,28.95,9.88,1.3,4.49
31,Master Lock,483,483,True,B001920ASU,biss_display_on_website,375875,307.64 inches,24.08,True,34.71,12.81,-2.18,-6.28
32,Master Lock,484,484,True,B001922BXM,biss_display_on_website,375875,752.92 inches,41.33,True,24.99,12.47,-28.81,-115.29
33,Master Lock,485,485,True,B000EFIEXG,biss_display_on_website,467389,1371.75 inches,99.45,False,no offers,no offers,no offers,no offers
34,Master Lock,487,487,True,B001HWK0LO,biss_display_on_website,40216,62.76 inches,8.42,True,13.89,7.46,-1.99,-14.33
35,Master Lock,488,488,True,B0010EED30,biss_display_on_website,40216,107.6 inches,11.03,True,15.45,8.370000000000001,-3.95,-25.57
36,Master Lock,506,506,True,B08D6RRP5V,home_improvement_display_on_website,2197150,,11.53,True,209.11,no offers,no offers,no offers
37,Master Lock,719,accar2303300616,False,B0C3D4C9L2,automotive_display_on_website,313036,37.76 inches,7.8,True,25.99,8.5,9.69,37.28
38,Master Lock,732,M5XTLFCCSEN,False,B00STZY3EW,home_improvement_display_on_website,39714,48.32 inches,6.75,True,23.03,10.44,5.84,25.36
39,Master Lock,770,770,True,B000LEHEO0,home_improvement_display_on_website,49593,58.19 inches,16.13,True,19.99,11.83,-7.97,-39.87
40,Master Lock,878,878,True,B01I0EZ296,home_improvement_display_on_website,648595,,8.93,False,no offers,no offers,no offers,no offers
41,Master Lock,975,975,True,B0149IC2UY,home_improvement_display_on_website,1612891,15.87 inches,13.86,False,41.44,12.92,14.66,35.38
42,Master Lock,1174,1174D,False,B004JVBK0A,home_improvement_display_on_website,127113,13.57 inches,20.94,True,29.96,10.54,-1.52,-5.07
43,Master Lock,1175,1175,True,B004JVBK2I,home_improvement_display_on_website,707986,40.73 inches,15.13,False,25.06,9.81,0.12,0.48
44,Master Lock,1177,1177,True,B007UXUC1C,home_improvement_display_on_website,35129,24.51 inches,17.11,True,25.19,10.48,-2.4,-9.53
45,Master Lock,1178,1178,True,B0149IDKXM,home_improvement_display_on_website,33394,13.31 inches,8.6,True,17.11,8.620000000000001,-0.11,-0.64
46,Master Lock,1456,M5XKADCCSEN,False,B000WEKMNO,home_improvement_display_on_website,82448,28.83 inches,15.22,True,15.39,8.36,-8.19,-53.22
47,Master Lock,1458,1458,True,B08D6RK3TC,No Rank,No Rank,,32.0,True,272.8,no offers,no offers,no offers
48,Master Lock,1500,1500T,False,B00004SQLJ,home_improvement_display_on_website,10667,39.66 inches,4.89,True,14.53,8.879999999999999,0.76,5.23
49,Master Lock,1502,7ML1502,False,B001I2BUMQ,home_improvement_display_on_website,416716,8.99 inches,5.24,True,9.99,5.81,-1.06,-10.61
50,Master Lock,1525,1525,True,B0011UF9QI,fashion_display_on_website,2792555,7.41 inches,5.41,True,14.42,7.7,1.31,9.08
51,Master Lock,1557,1523D,False,B0C2XTJ9WG,home_improvement_display_on_website,78944,,10.17,False,no offers,no offers,no offers,no offers
52,Master Lock,1558,M5XTLFCCSEN,False,B00STZY3EW,home_improvement_display_on_website,41202,48.32 inches,15.2,True,23.03,10.44,-2.61,-11.33
53,Master Lock,1566,576DLHPF,False,B000BDB4JW,home_improvement_display_on_website,168807,14.2 inches,99.48,True,17.08,8.1,-90.5,-529.86
54,Master Lock,1585,,Not Listed,B07NTZ4WJL,home_improvement_display_on_website,762492,,5.66,True,15.99,no offers,no offers,no offers
55,Master Lock,1630,1523D,False,B0C2XTJ9WG,home_improvement_display_on_website,78944,,10.69,False,no offers,no offers,no offers,no offers
56,Master Lock,1631,1631,True,B004QUE08I,No Rank,No Rank,,10.69,True,1139.0,no offers,no offers,no offers
57,Master Lock,1652,1523D,False,B0C2XTJ9WG,home_improvement_display_on_website,78944,,11.9,False,no offers,no offers,no offers,no offers
58,Master Lock,1653,1653,True,B004QU6SUG,No Rank,No Rank,,11.9,True,1268.0,no offers,no offers,no offers
59,Master Lock,1654,1654MDGRN,False,B07SHGD7PW,No Rank,No Rank,,11.9,True,1333.0,no offers,no offers,no offers
60,Master Lock,1655,,Not Listed,B0BWXZ7J2D,home_improvement_display_on_website,270933,,11.9,True,13.99,no offers,no offers,no offers
61,Master Lock,1670,1670,True,B00C3J7AY0,No Rank,No Rank,,12.36,True,1317.0,no offers,no offers,no offers
62,Master Lock,1671,1671,True,B004QU5C76,No Rank,No Rank,,12.36,True,1317.0,no offers,no offers,no offers
63,Master Lock,1690,1523D,False,B0C2XTJ9WG,home_improvement_display_on_website,78944,,13.96,False,no offers,no offers,no offers,no offers
64,Master Lock,1710,1710,True,B007IA0IGQ,home_improvement_display_on_website,354904,26.33 inches,7.55,False,20.44,8.45,4.44,21.72
65,Master Lock,1714,1714,True,B001VUFBXO,biss_display_on_website,535829,48 inches,7.55,True,22.57,8.77,6.25,27.69
66,Master Lock,2010,2010,True,B08FJHC2C1,home_improvement_display_on_website,376778,,19.72,True,14.87,no offers,no offers,no offers
67,Master Lock,2650,2650,True,B08FJH9XW9,home_improvement_display_on_website,1955384,,13.61,True,14.87,no offers,no offers,no offers
68,Master Lock,3630,3630,True,B08FJGRRMV,home_improvement_display_on_website,1840082,,51.82,True,14.87,no offers,no offers,no offers
69,Master Lock,3631,3631,True,B08FJH5WPL,home_improvement_display_on_website,2056754,,51.82,True,14.8,no offers,no offers,no offers
70,Master Lock,3670,3670,True,B08FJHT1DT,home_improvement_display_on_website,1482487,,51.82,True,14.87,no offers,no offers,no offers
71,Master Lock,3681,3681,True,B08FJJ6HW4,home_improvement_display_on_website,2142687,,101.61,True,14.87,no offers,no offers,no offers
72,Master Lock,3685,3685,True,B08FJJ44WN,home_improvement_display_on_website,1713625,,88.36,True,14.87,no offers,no offers,no offers
73,Master Lock,3686,3686,True,B08FJGW66R,home_improvement_display_on_website,2566958,,33.68,True,14.87,no offers,no offers,no offers
74,Master Lock,4120,4120,True,B0847MFJN9,home_improvement_display_on_website,2473981,,1.93,True,395.6,no offers,no offers,no offers
75,Master Lock,4130,4130,True,B0847N72F8,home_improvement_display_on_website,2381117,,2.89,True,443.6,no offers,no offers,no offers
76,Master Lock,4140,4140,True,B00DVLDBCE,home_improvement_display_on_website,542775,3.14 inches,3.87,True,18.46,7.37,7.22,39.11
77,Master Lock,4150,4150,True,B07D965MF2,home_improvement_display_on_website,608638,,5.81,True,17.86,7.65,4.4,24.64
78,Master Lock,6121,6121,True,B000LDHT3C,home_improvement_display_on_website,753242,17.14 inches,14.7,True,38.62,12.49,11.43,29.6
79,Master Lock,6125,6125,True,B0847LY4P9,No Rank,No Rank,,16.76,True,428.4,no offers,no offers,no offers
80,Master Lock,6127,6127,True,B07V1HB4Z4,home_improvement_display_on_website,2187209,,19.13,True,474.3,no offers,no offers,no offers
81,Master Lock,6230,6230,True,B000E2PBJ4,home_improvement_display_on_website,226688,6804 inches,19.54,True,41.58,38.13,-16.09,-38.7
82,Master Lock,6271,6271,True,B09GK99KDC,home_improvement_display_on_website,2186670,,18.1,True,334.7,no offers,no offers,no offers
83,Master Lock,6321,6321,True,B000E2NMWC,home_improvement_display_on_website,168142,13.32 inches,20.07,True,35.0,12.24,2.69,7.69
84,Master Lock,6325,6325,True,B000LE6UUO,home_improvement_display_on_website,1320531,12.64 inches,23.75,True,48.16,13.92,10.49,21.78
85,Master Lock,6327,6327,True,B0847NBRB3,home_improvement_display_on_website,2332315,,27.39,True,304.5,no offers,no offers,no offers
86,Master Lock,6830,6830,True,B0845TF5F7,home_improvement_display_on_website,1863593,,12.79,True,326.9,no offers,no offers,no offers
87,Master Lock,6840,6840,True,B0845Y78TD,No Rank,No Rank,,15.11,True,366.6,no offers,no offers,no offers
88,Master Lock,6850,6850,True,B08D6V8FVT,No Rank,No Rank,,17.19,True,439.6,no offers,no offers,no offers
89,Master Lock,7030,7030,True,B01MYXAXS5,automotive_display_on_website,145399,58.54 inches,12.11,True,29.95,8.969999999999999,8.87,29.62
90,Master Lock,7035,7035,True,B009IUN8KM,biss_display_on_website,885665,4.0 inches,22.47,True,39.99,no offers,no offers,no offers
91,Master Lock,7040,CAD50,False,B00M48M068,home_improvement_display_on_website,1807383,7.72 inches,13.35,True,10.85,6.23,-8.73,-80.46
92,Master Lock,7045,,Not Listed,B08FKXKH2G,home_improvement_display_on_website,359281,,24.37,True,36.88,no offers,no offers,no offers
93,Master Lock,7050,7050,True,B005IGXB2U,home_improvement_display_on_website,2422546,,15.82,True,163.75,36.75,111.18,67.9
94,Master Lock,7130,M5XTLFCCSEN,False,B00STZY3EW,home_improvement_display_on_website,41202,48.32 inches,408.19,True,23.03,10.44,-395.6,-1717.76
95,Master Lock,0410-5701,0410-5701,True,B004USVRNM,home_improvement_display_on_website,1409214,1000 inches,12.88,False,33.61,19.71,1.02,3.03
96,Master Lock,0411-5701,5KA A451,False,B000FKDCLO,home_improvement_display_on_website,150919,10.21 inches,6.33,True,19.29,8.940000000000001,4.02,20.84
